,,,,,
,📄 WB КОМИССИИ,,,,
,Спортивная одежда,Рубашки спортивные,"34,5",38,3
,Автоаксессуары и дополнительное оборудование,Подстаканники электрические,"26,5",30,3
,Спортивный товар,Колодки тормозные,"27,5",31,3
,Спортивный товар,Юбки для каякинга,"22,5",26,3
,Ручной инструмент и оснастка,Клещи строительные,"31,5",35,3
,Спортивный товар,Лопатки на пальцы,"22,5",26,3
,Товары для отдыха и кемпинга,Корзины для пикника,"28,5",32,3
,Белье для малышей,Термофутболки для малышей,"34,5",38,3
,Спортивная одежда,Тайтсы,"34,5",38,3
,Садовые инструменты и полив,Ножницы садовые,"29,5",33,3
,Продукты,Рыбные палочки,"16,5",20,3
,Строительные материалы,Коробки распределительные,"28,5",32,3
,Товары для животных,Витамины для сельскохозяйственных животных,"21,5",25,3
,Строительные материалы,Диммеры,"28,5",32,3
,Мебель офисная и торговое оборудование,Сортировщики банкнот,"26,5",30,3
,Спортивные аксессуары,Средства по уходу за пилоном,"29,5",33,3
,Крупная бытовая техника,Паровые шкафы для одежды,"19,5","19,5",3
,Посуда и инвентарь,Палочки для сахарной ваты,"29,5",33,3
,Строительные материалы,Трансиверы,29,"32,5",3
,Декор интерьера,Топливо для биокаминов,"24,5",28,3
,Рукоделие,Станки для холодной ковки,"29,5",33,3
,Мебель офисная и торговое оборудование,Штанги для одежды,"26,5",30,3
,Периферия и аксессуары,Шторки для веб-камер,"19,5",23,3
,Автозапчасти,Свечи накаливания,"26,5",30,3
,Транспортные средства,Навесное оборудование для спецтехники,"0,5","0,5","0,5"
,Все для садоводства,Средства от грызунов,"29,5","29,5",3
,Автоаксессуары и дополнительное оборудование,Зарядные устройства для АКБ,"21,5",25,3
,Цифровые товары,Цифровые товары,20,20,3
,Спортивный товар,Газовые обогреватели туристические,"27,5",31,3
,Строительные материалы,Изоляторы электрические,"28,5",32,3
,Посуда и инвентарь,Термометры для холодильников,"29,5",33,3
,Здоровье,Туторы пальцевые,25,"28,5",3
,Мототовары,Склизы для снегоходов,"21,5",25,3
,Отделочные материалы,Составы защитно-декоративные по дереву,"28,5",32,3
,Игрушки,Сюжетные игровые наборы,"28,5",32,3
,Продукты,Ряженка,"16,5",20,3
,Здоровье,Подгузники для взрослых,"32,5",36,3
,Транспортные средства,Катера,"0,5","0,5","0,5"
,Автозапчасти,Насосы ГУР,"26,5",30,3
,Продукты,Шаурма,"16,5",20,3
,Аксессуары для электроники,Радиосистемы вокальные,"27,5",31,3
,Продукты,Димсамы,"16,5",20,3
,Бытовая техника,Стерилизаторы косметологические,"25,5",29,3
,Красота,Парфюмерная вода,"32,5",36,3
,Мебель офисная и торговое оборудование,Сортировщики монет,"26,5",30,3
,Все для садоводства,Кассеты для рассады,"29,5","29,5",3
,Здоровье,Средства профилактики,"24,5",28,3
,Автозапчасти,Поддоны для масел,"26,5",30,3
,Мототовары,Аксессуары и комплектующие для яхт,"21,5",25,3
,Отделочные материалы,Масло деревозащитное,"28,5",32,3
,Спецодежда и СИЗы,Куртки рабочие,"34,5",38,3
,Бытовая техника,Фены,"25,5",29,3
,Автоаксессуары и дополнительное оборудование,Кабели свечные,"26,5",30,3
,Здоровье,Здоровье,"32,5",36,3
,Продукты,Клетчатка,"21,5",25,3
,Красота,Бигуди,"31,5",35,3
,Продукты,Пасты томатные,"16,5",20,3
,Продукты,Орехи в сиропе,"21,5",25,3
,Рукоделие,Тесто для лепки,"29,5",33,3
,Спортивные аксессуары,Наушники для стрельбы,"29,5",33,3
,Здоровье,Концентраторы кислорода,"25,5",29,3
,Аксессуары,Инструменты и запчасти для часов,"29,5",33,3
,Посуда и инвентарь,Трафареты для тортов,"29,5",33,3
,Все для садоводства,Держатели для балконных ящиков,"29,5","29,5",3
,Электроинструмент и оборудование,Перфораторы,"27,5",31,3
,Декор интерьера,Муляжи книг,"29,5",33,3
,Посуда и инвентарь,Приборы для удаления косточек,"24,5",28,3
,Ветаптека,Препараты для опорно-двигательной системы животных,"21,5",25,3
,Строительные материалы,Трубки термоусадочные,"28,5",32,3
,Спортивный товар,Баулы хоккейные,"27,5",31,3
,Автозапчасти,Гофры глушителя,"26,5",30,3
,Спортивный товар,Тормоза механические дисковые,"27,5",31,3
,Отделочные материалы,Эмали строительные,"28,5",32,3
,Ручной инструмент и оснастка,Ключи трещоточные,"31,5",35,3
,Канцелярские товары,Этикетки,"29,5",33,3
,Транспортные средства,Катамараны,"0,5","0,5","0,5"
,Спортивный товар,Газовые плиты туристические,"27,5",31,3
,Для праздника,Баллоны с гелием,"32,5",36,3
,Хозяйственные товары,Пакеты полиэтиленовые,"21,5",25,3
,Аксессуары,Чехлы для сплит-систем,"34,5",38,3
,Строительные материалы,Щиты мебельные,"20,5",24,3
,Отделочные материалы,Плинтусы для пола,"28,5",32,3
,Сантехника,Пробки для ванной,"22,5",26,3
,Спортивный товар,Салфетки для удаления смазки,"27,5",31,3
,Товары для малышей,Ручки для бутылочек,"26,5",30,3
,Посуда и инвентарь,Палочки для еды,"29,5",33,3
,Мототовары,Ленты капота снегохода,"21,5",25,3
,Автозапчасти,Фильтры масляные,"26,5",30,3
,Ручной инструмент и оснастка,Ключи трубные и газовые,"31,5",35,3
,Рукоделие,Пуговицы,"29,5",33,3
,Автоаксессуары и дополнительное оборудование,Рамки для номеров,"26,5",30,3
,Товары для животных,Клетки для птиц,"21,5",25,3
,Спортивное питание и косметика,L-карнитины,"25,5",29,3
,Канцелярские товары,Наборы для каллиграфии,"29,5",33,3
,Продукты,Молоко капсульное,"21,5",25,3
,Посуда и инвентарь,Палочки для леденцов,"24,5",28,3
,Спортивный товар,Рогатки рыболовные,"27,5",31,3
,Красота,Чехлы для парикмахерских инструментов,"32,5",36,3
,Профессиональные музыкальные инструменты,Рейнстики,"28,5",32,3
,Здоровье,БИПАП-аппараты,"25,5",29,3
,Автозапчасти,Тяги автомобильные,"26,5",30,3
,Продукты,Пельмени,"16,5",20,3
,Товары для отдыха и кемпинга,Баки для бани,"28,5",32,3
,Автозапчасти,Противотуманные фары,"26,5",30,3
,Спортивный товар,Канторезы,"27,5",31,3
,Красота,Праймеры для тела,"32,5",36,3
,Белье для малышей,Термокомбинезоны для малышей,"34,5",38,3
,Телевизоры и аудиотехника,MP3 плееры,"28,5",32,3
,Спортивный товар,Замки велосипедные,"27,5",31,3
,Автозапчасти,Модули зажигания,"26,5",30,3
,Отделочные материалы,Заглушки для подоконника,"23,5",27,3
,Транспортные средства,Понтоны,"0,5","0,5","0,5"
,Товары для взрослых,Благовония эротик,"29,5",33,3
,Красота,Инструменты для чистки лица,32,"35,5",3
,Автоаксессуары и дополнительное оборудование,Крепления для багажника,"26,5",30,3
,Текстиль для дома,Шторы для ванной,"29,5",33,3
,Игрушки,Жвачка для рук,"23,5",27,3
,Аксессуары для электроники,Пульты телевизионные,"24,5",28,3
,Белье для малышей,Термоколготки для малышей,"34,5",38,3
,Бытовая техника,Насадки для ирригатора,"25,5",29,3
,Продукты,Консервы ягодные,"21,5",25,3
,Бытовая химия,Средства для сельскохозяйственного оборудования,"28,5",32,3
,Спортивный товар,Стрелы для лука,"27,5",31,3
,Товары для животных,Ветеринарные паспорта,"16,5",20,3
,Красота,Эфирные масла,"32,5",36,3
,Товары для малышей,Трубочки для бутылочек,"21,5",25,3
,Автозапчасти,Крыши складные,"21,5",25,3
,Электротранспорт,Электросамокаты,"13,5",17,3
,Красота,Чаши для бритья,"32,5",36,3
,Продукты,Фитококтейли,"21,5",25,3
,Декор интерьера,Ящики почтовые,"29,5",33,3
,Спортивный товар,Профили для обработки лыж,"22,5",26,3
,Товары для взрослых,Щеточки эротик,"24,5",28,3
,Строительные материалы,Сетки базальтовые,"28,5",32,3
,Спортивный товар,Грелки туристические,"27,5",31,3
,Телевизоры и аудиотехника,Диктофоны,"28,5",32,3
,Строительные материалы,Проволоки вязальные,"28,5",32,3
,Садовые инструменты и полив,Черенки,"29,5",33,3
,Бытовая химия,Бытовая химия,"29,5",33,3
,Мебель офисная и торговое оборудование,Шкафы архивные,"26,5",30,3
,Спортивный товар,Направляющие для напильника,"22,5",26,3
,Техника для кухни,Йогуртницы,"24,5",28,3
,Посуда и инвентарь,Коврики в кухонные ящики,"29,5",33,3
,Аксессуары для электроники,Дисплеи для смартфонов,"29,5",33,3
,Товары для животных,Комплектующие для доильных аппаратов,"21,5",25,3
,Фото и Видеотехника,Фото и Видеотехника,"28,5",32,3
,Аксессуары для электроники,Карманные переводчики,"27,5",31,3
,Одежда,Блузки,"34,5",38,3
,Белье,Корсеты,"34,5",38,3
,Для праздника,Букеты искусственных цветов,"32,5",36,3
,Автозапчасти,Крылья автомобильные,"26,5",30,3
,Сантехника,Дефлекторы вентиляционные,"27,5",31,3
,Продукты,Нуга,"21,5",25,3
,Автозапчасти,Составляющие эмульсионной трубки,26,"29,5",3
,Строительные материалы,Штакетники,"28,5",32,3
,Товары для отдыха и кемпинга,Подушки для садовых качелей,"28,5",32,3
,Бытовая техника,Распошивальные машины,"25,5",29,3
,Красота,Наконечники для тату,"32,5",36,3
,Умный дом и безопасность,Блоки питания для систем безопасности,"24,5",28,3
,Автозапчасти,Фары автомобильные,"26,5",30,3
,Товары для взрослых,Перчатки эротик,"29,5",33,3
,Декор интерьера,Печать фотографий,"24,5",28,3
,Садовые инструменты и полив,Лейки садовые,"29,5",33,3
,Продукты,Чипсы,"21,5",25,3
,Товары для курения,Резаки для сигары,"28,5",32,3
,Здоровье,Тест-полоски крови,"30,5",34,3
,Спортивный товар,Шпоры для верховой езды,"27,5",31,3
,Посуда и инвентарь,Пьезозажигалки,"29,5",33,3
,Спортивные аксессуары,Перчатки снарядные,"29,5",33,3
,Продукты,Полба,"16,5",20,3
,Телевизоры и аудиотехника,Колонки,"21,5",25,3
,Бытовая химия,Пеногасители,"25,5",29,3
,Спортивный товар,Полировальные камни,"22,5",26,3
,Автоаксессуары и дополнительное оборудование,Теплоизоляционный материал для авто,"26,5",30,3
,Строительные материалы,Коробки монтажные,"28,5",32,3
